danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,added_at,song_title,artists
0.809,0.628,1,-5.749,1,0.17,0.0145,1.29e-06,0.08,0.522,93.98100000000001,178320,1,2020-01-08T13:07:32Z,Toucher l'horizon - Remasterisé,Oxmo Puccino
0.726,0.679,7,-6.443,0,0.0333,0.132,6.73e-06,0.159,0.345,83.04700000000001,211618,4,2020-01-08T13:03:30Z,Want It Back,"Guts,Patrice,The Studio School Voices NYC"
0.45399999999999996,0.715,9,-6.367999999999999,1,0.39299999999999996,0.0522,0.000169,0.162,0.838,169.924,297529,4,2020-01-08T12:50:33Z,The Life of Puyi,Senbeï
0.723,0.638,7,-6.794,0,0.0451,0.161,0.0,0.102,0.336,83.029,233427,4,2020-01-08T10:49:48Z,Want It Back (feat. Patrice & The School Voices NYC),"Guts,The School Voices NYC,Patrice"
0.8079999999999999,0.569,1,-9.684,0,0.258,0.0641,0.00492,0.11800000000000001,0.34700000000000003,97.523,229549,4,2020-01-08T10:32:24Z,Stop the Violence,"Guts,Beat Assailant"
0.8270000000000001,0.6779999999999999,0,-6.244,0,0.071,0.231,0.0,0.0977,0.633,147.993,177333,4,2020-01-02T01:09:49Z,Mr Sal,Niska
0.853,0.784,2,-6.152,0,0.0715,0.32799999999999996,0.000359,0.11800000000000001,0.575,149.969,176000,4,2020-01-02T01:09:49Z,Des flingues et des roses,Niska
0.433,0.8959999999999999,1,-6.155,1,0.043,0.00316,0.872,0.363,0.0659,174.07299999999998,281379,4,2019-12-25T19:08:22Z,Tramontane,Boxplot
0.7509999999999999,0.645,0,-8.92,1,0.131,0.0362,0.000479,0.0716,0.519,87.935,291311,4,2019-12-21T20:26:21Z,Chan Chan,"Mista Savona,Maikel Ante,Felix Baloy,Solis,Eugenio Rodríguez"
0.787,0.475,8,-7.388,0,0.21600000000000003,0.105,0.0,0.0547,0.679,93.189,227561,4,2019-12-17T17:58:38Z,Comme d'hab',"Kacem Wapalek,Nemir"
0.768,0.599,0,-9.582,1,0.0613,0.20600000000000002,0.000462,0.0704,0.795,132.806,252333,4,2019-12-17T15:43:14Z,Ma salope à moi,Doc Gyneco
0.7040000000000001,0.741,7,-5.617999999999999,1,0.21100000000000002,0.13,0.0,0.37200000000000005,0.551,172.69400000000002,235800,4,2019-12-17T14:40:24Z,Passement de jambes,Doc Gyneco
0.5529999999999999,0.732,8,-5.024,0,0.0694,0.00411,0.797,0.183,0.27399999999999997,174.044,285517,4,2019-12-17T11:01:22Z,Fandango,Bensley
0.349,0.7490000000000001,2,-4.729,1,0.0329,0.0211,0.00365,0.127,0.0532,173.93400000000003,247020,4,2019-12-16T15:27:45Z,Cold Green Eyes - Original Mix,"Station Earth,Roos Denayer"
0.62,0.8690000000000001,10,-4.018,0,0.171,0.0175,0.0011,0.122,0.812,175.05200000000002,274486,4,2019-12-16T15:24:59Z,Vagrant - Smooth Remix,"Feint,Veela,Smooth"
0.35200000000000004,0.8370000000000001,2,-4.571000000000001,1,0.031,0.0279,0.37,0.19699999999999998,0.0484,174.01,248308,4,2019-12-16T15:24:58Z,Cold Green Eyes - Blue Marble VIP,"Station Earth,Roos Denayer,Blue Marble"
0.595,0.562,5,-11.718,0,0.531,0.6679999999999999,1.53e-05,0.203,0.7490000000000001,169.907,190050,4,2019-12-16T08:10:22Z,Les rues de ma vie,Dooz Kawa
0.867,0.636,7,-7.5089999999999995,1,0.294,0.000778,0.0,0.244,0.696,82.189,216187,4,2019-12-11T19:48:05Z,Nuff Respect,Lady G
