,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,song_title,artists
11,0.7,0.887,7,-4.232,1,0.056,0.000694,0.00385,0.0169,0.685,175.008,audio_features,1qkY7MabnWvOHq9WgwlvIF,spotify:track:1qkY7MabnWvOHq9WgwlvIF,https://api.spotify.com/v1/tracks/1qkY7MabnWvOHq9WgwlvIF,https://api.spotify.com/v1/audio-analysis/1qkY7MabnWvOHq9WgwlvIF,251249,4,2019-09-17T09:25:43Z,Time Bomb,"Manudigital,Devon Morgan,Sherkhan,Ed Solo"
12,0.798,0.707,10,-6.236,0,0.0856,0.11,0.0,0.283,0.392,97.005,audio_features,6AYRFAw0Z8MHnOL2RCWbKJ,spotify:track:6AYRFAw0Z8MHnOL2RCWbKJ,https://api.spotify.com/v1/tracks/6AYRFAw0Z8MHnOL2RCWbKJ,https://api.spotify.com/v1/audio-analysis/6AYRFAw0Z8MHnOL2RCWbKJ,244000,4,2019-09-17T08:30:58Z,Nah Fight,"Manudigital,Mesh"
13,0.843,0.448,11,-8.303,0,0.0824,0.0749,0.703,0.27,0.25,139.972,audio_features,05ZkEq06mPBTRXKqSGHa6E,spotify:track:05ZkEq06mPBTRXKqSGHa6E,https://api.spotify.com/v1/tracks/05ZkEq06mPBTRXKqSGHa6E,https://api.spotify.com/v1/audio-analysis/05ZkEq06mPBTRXKqSGHa6E,262129,4,2019-09-17T07:00:51Z,Smile is the Key,Panda Dub
14,0.78,0.65,0,-6.615,1,0.257,0.579,0.0,0.26,0.56,92.979,audio_features,33IkUVE8cyaWO92IbxIr2j,spotify:track:33IkUVE8cyaWO92IbxIr2j,https://api.spotify.com/v1/tracks/33IkUVE8cyaWO92IbxIr2j,https://api.spotify.com/v1/audio-analysis/33IkUVE8cyaWO92IbxIr2j,213237,4,2019-09-16T14:40:51Z,Old Boy,Hugo TSR
15,0.793,0.648,8,-7.612,0,0.17,0.391,0.0,0.101,0.249,140.034,audio_features,17y8kqTbNDd9QM3j6yln4g,spotify:track:17y8kqTbNDd9QM3j6yln4g,https://api.spotify.com/v1/tracks/17y8kqTbNDd9QM3j6yln4g,https://api.spotify.com/v1/audio-analysis/17y8kqTbNDd9QM3j6yln4g,211307,4,2019-09-16T11:32:25Z,Adieu bientôt,"Columbine,Lujipeka,Foda C"
16,0.498,0.938,2,-5.456,0,0.0429,0.0775,0.00109,0.134,0.976,139.927,audio_features,3cAeVEM3e2qv2V4lVhMpdR,spotify:track:3cAeVEM3e2qv2V4lVhMpdR,https://api.spotify.com/v1/tracks/3cAeVEM3e2qv2V4lVhMpdR,https://api.spotify.com/v1/audio-analysis/3cAeVEM3e2qv2V4lVhMpdR,412840,4,2019-09-14T23:37:30Z,Warni Warni,Omar Souleyman
17,0.688,0.858,5,-6.496,0,0.0348,0.103,0.000118,0.147,0.697,92.253,audio_features,2u8MGAiS2hBVE7GZzTZLQI,spotify:track:2u8MGAiS2hBVE7GZzTZLQI,https://api.spotify.com/v1/tracks/2u8MGAiS2hBVE7GZzTZLQI,https://api.spotify.com/v1/audio-analysis/2u8MGAiS2hBVE7GZzTZLQI,229467,4,2019-09-14T22:04:21Z,I'm So Excited,The Pointer Sisters
18,0.822,0.63,1,-8.534,0,0.0688,0.175,0.00259,0.085,0.429,130.009,audio_features,4obtVJvGI3pq50zcZEDD4g,spotify:track:4obtVJvGI3pq50zcZEDD4g,https://api.spotify.com/v1/tracks/4obtVJvGI3pq50zcZEDD4g,https://api.spotify.com/v1/audio-analysis/4obtVJvGI3pq50zcZEDD4g,223954,4,2019-09-14T19:31:43Z,Presque rien,Hippocampe Fou
19,0.56,0.815,8,-4.308,1,0.0788,0.118,0.000161,0.138,0.652,91.494,audio_features,0PloVtYbZXVD6U7VR6tsBv,spotify:track:0PloVtYbZXVD6U7VR6tsBv,https://api.spotify.com/v1/tracks/0PloVtYbZXVD6U7VR6tsBv,https://api.spotify.com/v1/audio-analysis/0PloVtYbZXVD6U7VR6tsBv,423859,4,2019-09-13T15:39:22Z,Macintosh Plus 2k18,Yung Frown
0,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,audio_features,6K4t31amVTZDgR3sKmwUJJ,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4,2019-09-12T20:52:43Z,The Less I Know The Better,Tame Impala
1,0.578,0.893,9,-3.615,0,0.0557,6.15e-05,0.00629,0.147,0.373,126.018,audio_features,1Thv8uCYzyOFC7PME9J936,spotify:track:1Thv8uCYzyOFC7PME9J936,https://api.spotify.com/v1/tracks/1Thv8uCYzyOFC7PME9J936,https://api.spotify.com/v1/audio-analysis/1Thv8uCYzyOFC7PME9J936,320173,4,2019-09-11T16:53:58Z,"The Island -, Pt. I (Dawn)",Pendulum
2,0.667,0.747,9,-6.665,0,0.122,0.0333,0.00112,0.362,0.59,75.028,audio_features,0jSvm9INXBdV6fzFbONmD7,spotify:track:0jSvm9INXBdV6fzFbONmD7,https://api.spotify.com/v1/tracks/0jSvm9INXBdV6fzFbONmD7,https://api.spotify.com/v1/audio-analysis/0jSvm9INXBdV6fzFbONmD7,209583,4,2019-09-11T16:18:37Z,"The Island, Pt. 1 (Dawn) - Skrillex Remix","Pendulum,Skrillex"
3,0.645,0.689,0,-4.995,1,0.0863,0.00833,0.0905,0.12,0.0729,174.958,audio_features,0bhRroouFZ25OrNUcnKTMS,spotify:track:0bhRroouFZ25OrNUcnKTMS,https://api.spotify.com/v1/tracks/0bhRroouFZ25OrNUcnKTMS,https://api.spotify.com/v1/audio-analysis/0bhRroouFZ25OrNUcnKTMS,296229,4,2019-09-11T10:45:05Z,Good Times Bad Times - Document One Remix,"Camo & Krooked,Document One"
